,resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,rank,fastestLapTime,fastestLapSpeed,statusId,driverRef,dob,constructorRef,status,constructorPoints,avgPit,circuitRef
12,13,18,13,6,4,13,0.0,29,,,6.0,2022-07-29 01:28:10,216.51,5,massa,1981-04-25,ferrari,Engine,1.0,48945.787301587305,albert_park
13,14,18,14,9,8,14,0.0,25,,,11.0,2022-07-29 01:29:30,213.3,4,coulthard,1971-03-27,red_bull,Collision,,,albert_park
14,15,18,15,7,6,15,0.0,19,,,10.0,2022-07-29 01:29:18,213.758,10,trulli,1974-07-13,toyota,Electrical,,25106.5,albert_park
15,16,18,16,10,22,16,0.0,8,,,17.0,2022-07-29 01:32:01,207.461,9,sutil,1983-01-11,force_india,Hydraulics,,34640.10743801653,albert_park
16,17,18,17,9,14,17,0.0,0,,,,,,4,webber,1976-08-27,red_bull,Collision,,23556.549295774646,albert_park
17,18,18,18,11,12,18,0.0,0,,,,,,4,button,1980-01-19,honda,Collision,,45562.59845559845,albert_park
18,19,18,19,8,21,19,0.0,0,,,,,,4,davidson,1979-04-18,super_aguri,Collision,,,albert_park
19,20,18,20,5,9,20,0.0,0,,,,,,4,vettel,1987-07-03,toro_rosso,Collision,2.0,71738.98139534883,albert_park
20,21,18,21,10,16,21,0.0,0,,,,,,4,fisichella,1973-01-14,force_india,Collision,,,albert_park
21,22,18,22,11,10,22,0.0,58,,,8.0,2022-07-29 01:28:44,215.141,2,barrichello,1972-05-23,honda,Disqualified,,24617.02,albert_park
22,369,36,8,6,1,1,10.0,58,0.0,5128770.0,1.0,2022-07-29 01:25:14,223.978,1,raikkonen,1979-10-17,ferrari,Finished,13.0,77797.62640449438,albert_park
23,370,36,4,1,2,2,8.0,58,7.242,5136012.0,2.0,2022-07-29 01:26:18,221.178,1,alonso,1981-07-29,mclaren,Finished,14.0,69458.58670520231,albert_park
24,371,36,1,1,4,3,6.0,58,18.595,5147365.0,3.0,2022-07-29 01:26:21,221.083,1,hamilton,1985-01-07,mclaren,Finished,14.0,74893.54398148147,albert_park
25,372,36,2,2,3,4,5.0,58,38.763,5167533.0,6.0,2022-07-29 01:26:43,220.137,1,heidfeld,1977-05-10,bmw_sauber,Finished,5.0,22933.32,albert_park
26,373,36,21,4,6,5,4.0,58,,5195239.0,7.0,2022-07-29 01:26:53,219.707,1,fisichella,1973-01-14,renault,Finished,4.0,,albert_park
27,374,36,13,6,22,6,3.0,58,,5195575.0,8.0,2022-07-29 01:27:02,219.323,1,massa,1981-04-25,ferrari,Finished,13.0,48945.787301587305,albert_park
28,375,36,3,3,12,7,2.0,57,,,5.0,2022-07-29 01:26:43,220.14,11,rosberg,1985-06-27,williams,+1 Lap,2.0,49760.69076305221,albert_park
29,376,36,23,7,9,8,1.0,57,,,12.0,2022-07-29 01:27:47,217.444,11,ralf_schumacher,1975-06-30,toyota,+1 Lap,1.0,,albert_park
30,377,36,15,7,8,9,0.0,57,,,13.0,2022-07-29 01:28:02,216.857,11,trulli,1974-07-13,toyota,+1 Lap,1.0,25106.5,albert_park
31,378,36,5,4,13,10,0.0,57,,,10.0,2022-07-29 01:27:35,217.951,11,kovalainen,1981-10-19,renault,+1 Lap,4.0,24608.666666666668,albert_park
32,379,36,22,11,16,11,0.0,57,,,14.0,2022-07-29 01:28:05,216.699,11,barrichello,1972-05-23,honda,+1 Lap,0.0,24617.02,albert_park
33,380,36,11,8,10,12,0.0,57,,,18.0,2022-07-29 01:28:29,215.746,11,sato,1977-01-28,super_aguri,+1 Lap,0.0,,albert_park
34,381,36,17,9,7,13,0.0,57,,,9.0,2022-07-29 01:27:30,218.178,11,webber,1976-08-27,red_bull,+1 Lap,0.0,23556.549295774646,albert_park
35,382,36,24,5,19,14,0.0,57,,,15.0,2022-07-29 01:28:16,216.247,11,liuzzi,1980-08-06,toro_rosso,+1 Lap,0.0,27402.878048780487,albert_park
36,383,36,18,11,14,15,0.0,57,,,17.0,2022-07-29 01:28:23,215.991,11,button,1980-01-19,honda,+1 Lap,0.0,45562.59845559845,albert_park
37,384,36,19,8,11,16,0.0,56,,,19.0,2022-07-29 01:28:29,215.742,12,davidson,1979-04-18,super_aguri,+2 Laps,0.0,,albert_park
38,385,36,16,12,20,17,0.0,56,,,20.0,2022-07-29 01:28:41,215.26,12,sutil,1983-01-11,spyker,+2 Laps,0.0,34640.10743801653,albert_park
39,386,36,25,3,15,18,0.0,48,,,16.0,2022-07-29 01:28:18,216.196,4,wurz,1974-02-15,williams,Collision,2.0,,albert_park
40,387,36,14,9,18,19,0.0,48,,,11.0,2022-07-29 01:27:42,217.668,4,coulthard,1971-03-27,red_bull,Collision,0.0,,albert_park
41,388,36,9,2,5,20,0.0,36,,,4.0,2022-07-29 01:26:38,220.341,6,kubica,1984-12-07,bmw_sauber,Gearbox,5.0,24428.73809523809,albert_park
42,389,36,26,5,17,21,0.0,28,,,21.0,2022-07-29 01:28:57,214.616,29,speed,1983-01-24,toro_rosso,Puncture,0.0,,albert_park
43,390,36,27,12,21,22,0.0,10,,,22.0,2022-07-29 01:30:53,210.022,3,albers,1979-04-16,spyker,Accident,0.0,,albert_park
44,787,55,4,4,3,1,10.0,57,0.0,5667870.0,2.0,2022-07-29 01:26:11,221.499,1,alonso,1981-07-29,renault,Finished,42.0,69458.58670520231,albert_park
45,788,55,8,1,4,2,8.0,57,1.8,5669670.0,1.0,2022-07-29 01:26:02,221.869,1,raikkonen,1979-10-17,mclaren,Finished,23.0,77797.62640449438,albert_park
46,789,55,23,7,6,3,6.0,57,24.8,5692670.0,10.0,2022-07-29 01:27:48,217.41,1,ralf_schumacher,1975-06-30,toyota,Finished,7.0,,albert_park
47,790,55,2,2,8,4,5.0,57,31.0,5698870.0,7.0,2022-07-29 01:27:42,217.683,1,heidfeld,1977-05-10,bmw_sauber,Finished,10.0,22933.32,albert_park
48,791,55,21,4,2,5,4.0,57,38.1,5705970.0,5.0,2022-07-29 01:27:33,218.028,1,fisichella,1973-01-14,renault,Finished,42.0,,albert_park
49,792,55,35,2,19,6,3.0,57,49.5,5717370.0,13.0,2022-07-29 01:28:19,216.152,1,villeneuve,1971-04-09,bmw_sauber,Finished,10.0,,albert_park
50,793,55,22,11,16,7,2.0,57,51.9,5719770.0,6.0,2022-07-29 01:27:41,217.707,1,barrichello,1972-05-23,honda,Finished,13.0,24617.02,albert_park
51,794,55,14,9,11,8,1.0,57,53.9,5721770.0,12.0,2022-07-29 01:28:15,216.326,1,coulthard,1971-03-27,red_bull,Finished,2.0,,albert_park
52,795,55,26,5,18,9,0.0,57,78.8,5746670.0,14.0,2022-07-29 01:28:22,216.039,1,speed,1983-01-24,toro_rosso,Finished,0.0,,albert_park
53,796,55,18,11,1,10,0.0,56,,,8.0,2022-07-29 01:27:47,217.437,11,button,1980-01-19,honda,+1 Lap,13.0,45562.59845559845,albert_park
54,797,55,27,13,17,11,0.0,56,,,15.0,2022-07-29 01:29:14,213.931,11,albers,1979-04-16,mf1,+1 Lap,0.0,,albert_park
55,798,55,11,8,21,12,0.0,55,,,17.0,2022-07-29 01:30:34,210.775,12,sato,1977-01-28,super_aguri,+2 Laps,0.0,,albert_park
56,799,55,34,8,22,13,0.0,54,,,18.0,2022-07-29 01:33:44,203.663,13,ide,1975-01-21,super_aguri,+3 Laps,0.0,,albert_park
57,800,55,31,1,5,14,0.0,46,,,4.0,2022-07-29 01:27:27,218.27,10,montoya,1975-09-20,mclaren,Electrical,23.0,,albert_park
58,801,55,33,13,20,15,0.0,39,,,16.0,2022-07-29 01:29:41,212.86,26,monteiro,1976-07-24,mf1,Mechanical,0.0,,albert_park
59,802,55,24,5,12,16,0.0,37,,,11.0,2022-07-29 01:27:59,216.97,3,liuzzi,1980-08-06,toro_rosso,Accident,0.0,27402.878048780487,albert_park
60,803,55,30,6,10,17,0.0,32,,,3.0,2022-07-29 01:27:10,218.981,3,michael_schumacher,1969-01-03,ferrari,Accident,15.0,22541.64444444445,albert_park
61,804,55,17,3,7,18,0.0,22,,,9.0,2022-07-29 01:27:48,217.435,7,webber,1976-08-27,williams,Transmission,5.0,23556.549295774646,albert_park
62,805,55,32,9,13,19,0.0,4,,,19.0,2022-07-29 01:41:21,188.363,3,klien,1983-02-07,red_bull,Accident,2.0,,albert_park
63,806,55,15,7,9,20,0.0,0,,,,,,3,trulli,1974-07-13,toyota,Accident,7.0,25106.5,albert_park
64,807,55,3,3,14,21,0.0,0,,,,,,3,rosberg,1985-06-27,williams,Accident,5.0,49760.69076305221,albert_park
65,808,55,13,6,15,22,0.0,0,,,,,,3,massa,1981-04-25,ferrari,Accident,15.0,48945.787301587305,albert_park
66,1139,71,21,4,1,1,10.0,57,0.0,5057336.0,2.0,2022-07-29 01:25:59,222.001,1,fisichella,1973-01-14,renault,Finished,16.0,,albert_park
67,1140,71,22,6,11,2,8.0,57,5.553,5062889.0,3.0,2022-07-29 01:26:13,221.386,1,barrichello,1972-05-23,ferrari,Finished,8.0,24617.02,albert_park
68,1141,71,4,4,13,3,6.0,57,6.712,5064048.0,1.0,2022-07-29 01:25:40,222.807,1,alonso,1981-07-29,renault,Finished,16.0,69458.58670520231,albert_park
69,1142,71,14,9,5,4,5.0,57,16.131,5073467.0,11.0,2022-07-29 01:26:41,220.219,1,coulthard,1971-03-27,red_bull,Finished,7.0,,albert_park
70,1143,71,17,3,3,5,4.0,57,16.908,5074244.0,8.0,2022-07-29 01:26:29,220.72,1,webber,1976-08-27,williams,Finished,4.0,23556.549295774646,albert_park
71,1144,71,31,1,9,6,3.0,57,35.033,5092369.0,7.0,2022-07-29 01:26:23,220.976,1,montoya,1975-09-20,mclaren,Finished,4.0,,albert_park
72,1145,71,32,9,6,7,2.0,57,38.997,5096333.0,10.0,2022-07-29 01:26:37,220.379,1,klien,1983-02-07,red_bull,Finished,7.0,,albert_park
73,1146,71,8,1,10,8,1.0,57,39.633,5096969.0,4.0,2022-07-29 01:26:15,221.329,1,raikkonen,1979-10-17,mclaren,Finished,4.0,77797.62640449438,albert_park
74,1147,71,15,7,2,9,0.0,57,,5120444.0,14.0,2022-07-29 01:27:06,219.142,1,trulli,1974-07-13,toyota,Finished,0.0,25106.5,albert_park
75,1148,71,13,15,18,10,0.0,57,,5121729.0,13.0,2022-07-29 01:26:53,219.704,1,massa,1981-04-25,sauber,Finished,0.0,48945.787301587305,albert_park
76,1149,71,18,16,8,11,0.0,56,,,5.0,2022-07-29 01:26:15,221.316,11,button,1980-01-19,bar,+1 Lap,0.0,45562.59845559845,albert_park
77,1150,71,23,7,15,12,0.0,56,,,9.0,2022-07-29 01:26:32,220.611,11,ralf_schumacher,1975-06-30,toyota,+1 Lap,0.0,,albert_park
78,1151,71,35,15,4,13,0.0,56,,,15.0,2022-07-29 01:27:44,217.571,11,villeneuve,1971-04-09,sauber,+1 Lap,0.0,,albert_park
79,1152,71,11,16,20,14,0.0,55,,,16.0,2022-07-29 01:27:52,217.244,12,sato,1977-01-28,bar,+2 Laps,0.0,,albert_park
80,1153,71,39,17,12,15,0.0,55,,,17.0,2022-07-29 01:27:58,217.014,12,karthikeyan,1977-01-14,jordan,+2 Laps,0.0,25659.571428571428,albert_park
81,1154,71,33,17,14,16,0.0,55,,,18.0,2022-07-29 01:28:59,214.505,12,monteiro,1976-07-24,jordan,+2 Laps,0.0,,albert_park
82,1155,71,40,18,16,17,0.0,55,,,19.0,2022-07-29 01:32:51,205.604,14,friesacher,1980-09-26,minardi,+4 Laps,0.0,,albert_park
83,1156,71,30,6,19,18,0.0,42,,,6.0,2022-07-29 01:26:15,221.314,3,michael_schumacher,1969-01-03,ferrari,Accident,8.0,22541.64444444445,albert_park
84,1157,71,2,3,7,19,0.0,42,,,12.0,2022-07-29 01:26:51,219.803,3,heidfeld,1977-05-10,williams,Accident,4.0,22933.32,albert_park
85,1158,71,27,18,17,20,0.0,16,,,20.0,2022-07-29 01:33:08,204.96,6,albers,1979-04-16,minardi,Gearbox,0.0,,albert_park
86,1515,90,30,6,1,1,10.0,58,0.0,5055757.0,1.0,2022-07-29 01:24:07,226.933,1,michael_schumacher,1969-01-03,ferrari,Finished,18.0,22541.64444444445,albert_park
87,1516,90,22,6,2,2,8.0,58,13.605,5069362.0,2.0,2022-07-29 01:24:10,226.788,1,barrichello,1972-05-23,ferrari,Finished,18.0,24617.02,albert_park
88,1517,90,4,4,5,3,6.0,58,34.673,5090430.0,3.0,2022-07-29 01:25:05,224.365,1,alonso,1981-07-29,renault,Finished,8.0,69458.58670520231,albert_park
89,1518,90,23,3,8,4,5.0,58,,5116180.0,5.0,2022-07-29 01:25:49,222.441,1,ralf_schumacher,1975-06-30,williams,Finished,9.0,,albert_park
90,1519,90,31,3,3,5,4.0,58,,5124293.0,4.0,2022-07-29 01:25:17,223.844,1,montoya,1975-09-20,williams,Finished,9.0,,albert_park
91,1520,90,18,16,4,6,3.0,58,,5126355.0,7.0,2022-07-29 01:25:58,222.032,1,button,1980-01-19,bar,Finished,3.0,45562.59845559845,albert_park
92,1521,90,15,4,9,7,2.0,57,,,9.0,2022-07-29 01:26:16,221.278,11,trulli,1974-07-13,renault,+1 Lap,8.0,25106.5,albert_park
93,1522,90,14,1,12,8,1.0,57,,,11.0,2022-07-29 01:26:19,221.142,11,coulthard,1971-03-27,mclaren,+1 Lap,1.0,,albert_park
94,1523,90,11,16,7,9,0.0,57,,,8.0,2022-07-29 01:26:04,221.787,11,sato,1977-01-28,bar,+1 Lap,3.0,,albert_park
95,1524,90,21,15,14,10,0.0,57,,,10.0,2022-07-29 01:26:16,221.26,11,fisichella,1973-01-14,sauber,+1 Lap,0.0,,albert_park
96,1525,90,32,19,19,11,0.0,56,,,16.0,2022-07-29 01:27:50,217.336,12,klien,1983-02-07,jaguar,+2 Laps,0.0,,albert_park
97,1526,90,43,7,13,12,0.0,56,,,15.0,2022-07-29 01:27:49,217.385,12,matta,1973-09-19,toyota,+2 Laps,0.0,,albert_park
98,1527,90,44,7,18,13,0.0,56,,,14.0,2022-07-29 01:27:48,217.417,12,panis,1966-09-02,toyota,+2 Laps,0.0,,albert_park
99,1528,90,45,17,16,14,0.0,55,,,18.0,2022-07-29 01:28:31,215.659,13,pantano,1979-02-04,jordan,+3 Laps,0.0,,albert_park
100,1529,90,13,15,11,15,0.0,44,,,12.0,2022-07-29 01:26:50,219.823,5,massa,1981-04-25,sauber,Engine,0.0,48945.787301587305,albert_park
101,1530,90,2,17,15,16,0.0,43,,,13.0,2022-07-29 01:27:30,218.173,7,heidfeld,1977-05-10,jordan,Transmission,0.0,22933.32,albert_park
102,1531,90,46,18,20,17,0.0,43,,,19.0,2022-07-29 01:30:09,211.741,62,bruni,1981-05-30,minardi,Not classified,,,albert_park
103,1532,90,17,19,6,18,0.0,29,,,6.0,2022-07-29 01:25:57,222.11,7,webber,1976-08-27,jaguar,Transmission,0.0,23556.549295774646,albert_park
104,1533,90,47,18,17,19,0.0,13,,,20.0,2022-07-29 01:30:37,210.666,10,baumgartner,1981-01-01,minardi,Electrical,,,albert_park
105,1534,90,8,1,10,20,0.0,9,,,17.0,2022-07-29 01:27:56,217.098,5,raikkonen,1979-10-17,mclaren,Engine,1.0,77797.62640449438,albert_park
106,1875,108,14,1,11,1,10.0,58,0.0,5682100.0,,,,1,coulthard,1971-03-27,mclaren,Finished,16.0,,albert_park
107,1876,108,31,3,3,2,8.0,58,8.675,5690775.0,,,,1,montoya,1975-09-20,williams,Finished,9.0,,albert_park
108,1877,108,8,1,15,3,6.0,58,9.192,5691292.0,,,,1,raikkonen,1979-10-17,mclaren,Finished,16.0,77797.62640449438,albert_park
109,1878,108,30,6,1,4,5.0,58,9.482,5691582.0,,,,1,michael_schumacher,1969-01-03,ferrari,Finished,5.0,22541.64444444445,albert_park
110,1879,108,15,4,12,5,4.0,58,38.801,5720901.0,,,,1,trulli,1974-07-13,renault,Finished,6.0,25106.5,albert_park
111,1880,108,49,15,4,6,3.0,58,43.928,5726028.0,,,,1,frentzen,1967-05-18,sauber,Finished,3.0,,albert_park
112,1881,108,4,4,10,7,2.0,58,45.074,5727174.0,,,,1,alonso,1981-07-29,renault,Finished,6.0,69458.58670520231,albert_park
113,1882,108,23,3,9,8,1.0,58,45.745,5727845.0,,,,1,ralf_schumacher,1975-06-30,williams,Finished,9.0,,albert_park
114,1883,108,35,16,6,9,0.0,58,,5747636.0,,,,1,villeneuve,1971-04-09,bar,Finished,0.0,,albert_park
115,1884,108,18,16,8,10,0.0,58,,5748074.0,,,,1,button,1980-01-19,bar,Finished,0.0,45562.59845559845,albert_park
116,1885,108,50,18,20,11,0.0,57,,,,,,11,verstappen,1972-03-04,minardi,+1 Lap,0.0,,albert_park
117,1886,108,21,17,13,12,0.0,52,,,,,,6,fisichella,1973-01-14,jordan,Gearbox,,,albert_park
118,1887,108,42,19,18,13,0.0,52,,,,,,22,pizzonia,1980-09-11,jaguar,Suspension,,,albert_park
119,1888,108,44,7,5,14,0.0,31,,,,,,32,panis,1966-09-02,toyota,Fuel pressure,,,albert_park
120,1889,108,2,15,7,15,0.0,20,,,,,,22,heidfeld,1977-05-10,sauber,Suspension,3.0,22933.32,albert_park
121,1890,108,51,18,19,16,0.0,16,,,,,,21,wilson,1978-07-31,minardi,Radiator,0.0,,albert_park
122,1891,108,17,19,14,17,0.0,15,,,,,,22,webber,1976-08-27,jaguar,Suspension,,23556.549295774646,albert_park
123,1892,108,43,7,16,18,0.0,7,,,,,,20,matta,1973-09-19,toyota,Spun off,,,albert_park
124,1893,108,52,17,17,19,0.0,6,,,,,,3,firman,1975-05-20,jordan,Accident,,,albert_park
125,1894,108,22,6,2,20,0.0,5,,,,,,3,barrichello,1972-05-23,ferrari,Accident,5.0,24617.02,albert_park
126,2195,124,30,6,2,1,10.0,58,0.0,5736792.0,,,,1,michael_schumacher,1969-01-03,ferrari,Finished,10.0,22541.64444444445,albert_park
127,2196,124,31,3,6,2,6.0,58,18.628,5755420.0,,,,1,montoya,1975-09-20,williams,Finished,6.0,,albert_park
128,2197,124,8,1,5,3,4.0,58,25.067,5761859.0,,,,1,raikkonen,1979-10-17,mclaren,Finished,4.0,77797.62640449438,albert_park
129,2198,124,56,19,19,4,3.0,57,,,,,,11,irvine,1965-11-10,jaguar,+1 Lap,3.0,,albert_park
130,2199,124,17,18,18,5,2.0,56,,,,,,12,webber,1976-08-27,minardi,+2 Laps,2.0,23556.549295774646,albert_park
131,2200,124,63,7,14,6,1.0,56,,,,,,12,salo,1966-11-30,toyota,+2 Laps,1.0,,albert_park
132,2201,124,62,18,21,7,0.0,55,,,,,,13,yoong,1976-07-20,minardi,+3 Laps,2.0,,albert_park
133,2202,124,37,19,20,8,0.0,53,,,,,,15,rosa,1971-02-24,jaguar,+5 Laps,3.0,25247.864864864863,albert_park
134,2203,124,14,1,4,9,0.0,33,,,,,,6,coulthard,1971-03-27,mclaren,Gearbox,4.0,,albert_park
135,2204,124,35,16,13,10,0.0,27,,,,,,41,villeneuve,1971-04-09,bar,Broken wing,,,albert_park
136,2205,124,49,21,15,11,0.0,16,,,,,,2,frentzen,1967-05-18,arrows,Disqualified,,,albert_park
137,2206,124,59,21,17,12,0.0,15,,,,,,2,bernoldi,1978-10-19,arrows,Disqualified,,,albert_park
138,2207,124,11,17,22,13,0.0,12,,,,,,10,sato,1977-01-28,jordan,Electrical,,,albert_park
139,2208,124,15,4,7,14,0.0,8,,,,,,20,trulli,1974-07-13,renault,Spun off,,25106.5,albert_park
140,2209,124,22,6,1,15,0.0,0,,,,,,4,barrichello,1972-05-23,ferrari,Collision,10.0,24617.02,albert_park
141,2210,124,23,3,3,16,0.0,0,,,,,,4,ralf_schumacher,1975-06-30,williams,Collision,6.0,,albert_park
142,2211,124,21,17,8,17,0.0,0,,,,,,4,fisichella,1973-01-14,jordan,Collision,,,albert_park
143,2212,124,13,15,9,18,0.0,0,,,,,,4,massa,1981-04-25,sauber,Collision,,48945.787301587305,albert_park
144,2213,124,2,15,10,19,0.0,0,,,,,,4,heidfeld,1977-05-10,sauber,Collision,,22933.32,albert_park
145,2214,124,18,4,11,20,0.0,0,,,,,,4,button,1980-01-19,renault,Collision,,45562.59845559845,albert_park
146,2215,124,44,16,12,21,0.0,0,,,,,,4,panis,1966-09-02,bar,Collision,,,albert_park
147,2216,124,66,7,16,22,0.0,0,,,,,,4,mcnish,1969-12-29,toyota,Collision,1.0,,albert_park
148,2557,141,30,6,1,1,10.0,58,0.0,5906533.0,,,,1,michael_schumacher,1969-01-03,ferrari,Finished,14.0,22541.64444444445,albert_park
149,2558,141,14,1,6,2,6.0,58,1.717,5908250.0,,,,1,coulthard,1971-03-27,mclaren,Finished,6.0,,albert_park
150,2559,141,22,6,2,3,4.0,58,33.491,5940024.0,,,,1,barrichello,1972-05-23,ferrari,Finished,14.0,24617.02,albert_park
151,2560,141,2,15,10,4,3.0,58,,5978012.0,,,,1,heidfeld,1977-05-10,sauber,Finished,4.0,22933.32,albert_park
152,2561,141,49,17,4,5,2.0,58,,5979340.0,,,,1,frentzen,1967-05-18,jordan,Finished,2.0,,albert_park
153,2562,141,8,15,13,6,1.0,58,,5990676.0,,,,1,raikkonen,1979-10-17,sauber,Finished,4.0,77797.62640449438,albert_park
154,2563,141,44,16,9,7,0.0,58,,5993583.0,,,,1,panis,1966-09-02,bar,Finished,0.0,,albert_park
155,2564,141,54,19,21,8,0.0,57,,,,,,11,burti,1975-03-05,jaguar,+1 Lap,0.0,,albert_park
156,2565,141,55,20,14,9,0.0,57,,,,,,11,alesi,1964-06-11,prost,+1 Lap,0.0,,albert_park
157,2566,141,50,21,15,10,0.0,57,,,,,,11,verstappen,1972-03-04,arrows,+1 Lap,0.0,,albert_park
158,2567,141,56,19,12,11,0.0,57,,,,,,11,irvine,1965-11-10,jaguar,+1 Lap,0.0,,albert_park
159,2568,141,4,18,19,12,0.0,56,,,,,,12,alonso,1981-07-29,minardi,+2 Laps,0.0,69458.58670520231,albert_park
160,2569,141,21,22,17,13,0.0,55,,,,,,13,fisichella,1973-01-14,benetton,+3 Laps,0.0,,albert_park
161,2570,141,18,22,16,14,0.0,52,,,,,,10,button,1980-01-19,benetton,Electrical,0.0,45562.59845559845,albert_park
162,2571,141,31,3,11,15,0.0,40,,,,,,5,montoya,1975-09-20,williams,Engine,,,albert_park
163,2572,141,15,17,7,16,0.0,38,,,,,,5,trulli,1974-07-13,jordan,Engine,2.0,25106.5,albert_park
164,2573,141,57,1,3,17,0.0,25,,,,,,22,hakkinen,1968-09-28,mclaren,Suspension,6.0,,albert_park
165,2574,141,23,3,5,18,0.0,4,,,,,,4,ralf_schumacher,1975-06-30,williams,Collision,,,albert_park
166,2575,141,35,16,8,19,0.0,4,,,,,,4,villeneuve,1971-04-09,bar,Collision,0.0,,albert_park
167,2576,141,58,18,22,20,0.0,3,,,,,,84,marques,1976-01-19,minardi,Battery,0.0,,albert_park
168,2577,141,59,21,18,21,0.0,2,,,,,,20,bernoldi,1978-10-19,arrows,Spun off,0.0,,albert_park
169,2578,141,60,20,20,22,0.0,0,,,,,,23,mazzacane,1975-05-08,prost,Brakes,0.0,,albert_park
170,2931,158,30,6,3,1,10.0,58,0.0,5641987.0,,,,1,michael_schumacher,1969-01-03,ferrari,Finished,16.0,22541.64444444445,albert_park
171,2932,158,22,6,4,2,6.0,58,11.415,5653402.0,,,,1,barrichello,1972-05-23,ferrari,Finished,16.0,24617.02,albert_park
172,2933,158,23,3,11,3,4.0,58,20.009,5661996.0,,,,1,ralf_schumacher,1975-06-30,williams,Finished,4.0,,albert_park
173,2934,158,35,16,8,4,3.0,58,44.447,5686434.0,,,,1,villeneuve,1971-04-09,bar,Finished,4.0,,albert_park
174,2935,158,21,22,9,5,2.0,58,45.165,5687152.0,,,,1,fisichella,1973-01-14,benetton,Finished,2.0,,albert_park
175,2936,158,41,16,16,6,1.0,58,46.468,5688455.0,,,,1,zonta,1976-03-23,bar,Finished,4.0,,albert_park
176,2937,158,25,22,14,7,0.0,58,46.915,5688902.0,,,,1,wurz,1974-02-15,benetton,Finished,2.0,,albert_park
177,2938,158,48,18,18,8,0.0,57,,,,,,11,gene,1974-03-29,minardi,+1 Lap,0.0,,albert_park
178,2939,158,2,20,15,9,0.0,56,,,,,,12,heidfeld,1977-05-10,prost,+2 Laps,0.0,22933.32,albert_park
179,2940,158,63,15,10,10,0.0,58,,,,,,2,salo,1966-11-30,sauber,Disqualified,,,albert_park
180,2941,158,18,3,21,11,0.0,46,,,,,,5,button,1980-01-19,williams,Engine,4.0,45562.59845559845,albert_park
181,2942,158,64,15,19,12,0.0,41,,,,,,7,diniz,1970-05-22,sauber,Transmission,,,albert_park
182,2943,158,60,18,22,13,0.0,40,,,,,,6,mazzacane,1975-05-08,minardi,Gearbox,0.0,,albert_park
183,2944,158,49,17,5,14,0.0,39,,,,,,9,frentzen,1967-05-18,jordan,Hydraulics,,,albert_park
184,2945,158,15,17,6,15,0.0,35,,,,,,5,trulli,1974-07-13,jordan,Engine,,25106.5,albert_park
185,2946,158,55,20,17,16,0.0,27,,,,,,9,alesi,1964-06-11,prost,Hydraulics,0.0,,albert_park
186,2947,158,57,1,1,17,0.0,18,,,,,,5,hakkinen,1968-09-28,mclaren,Engine,,,albert_park
187,2948,158,50,21,13,18,0.0,16,,,,,,22,verstappen,1972-03-04,arrows,Suspension,,,albert_park
188,2949,158,14,1,2,19,0.0,11,,,,,,5,coulthard,1971-03-27,mclaren,Engine,,,albert_park
189,2950,158,37,21,12,20,0.0,6,,,,,,22,rosa,1971-02-24,arrows,Suspension,,25247.864864864863,albert_park
