resultId,raceId,driverId,constructorId,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,driverRef,dob,constructorRef,status,constructorPoints,avgPit
13,18,13,6,4,\N,13,0.0,29,\N,\N,23,6,1:28.175,216.510,5,massa,1981-04-25,ferrari,Engine,1.0,48945.787301587305
14,18,14,9,8,\N,14,0.0,25,\N,\N,21,11,1:29.502,213.300,4,coulthard,1971-03-27,red_bull,Collision,,
15,18,15,7,6,\N,15,0.0,19,\N,\N,18,10,1:29.310,213.758,10,trulli,1974-07-13,toyota,Electrical,,25106.5
16,18,16,10,22,\N,16,0.0,8,\N,\N,8,17,1:32.021,207.461,9,sutil,1983-01-11,force_india,Hydraulics,,34640.10743801653
17,18,17,9,14,\N,17,0.0,0,\N,\N,\N,\N,\N,\N,4,webber,1976-08-27,red_bull,Collision,,23556.549295774646
18,18,18,11,12,\N,18,0.0,0,\N,\N,\N,\N,\N,\N,4,button,1980-01-19,honda,Collision,,45562.598455598454
19,18,19,8,21,\N,19,0.0,0,\N,\N,\N,\N,\N,\N,4,davidson,1979-04-18,super_aguri,Collision,,
20,18,20,5,9,\N,20,0.0,0,\N,\N,\N,\N,\N,\N,4,vettel,1987-07-03,toro_rosso,Collision,2.0,71738.98139534883
21,18,21,10,16,\N,21,0.0,0,\N,\N,\N,\N,\N,\N,4,fisichella,1973-01-14,force_india,Collision,,
22,18,22,11,10,\N,22,0.0,58,\N,\N,44,8,1:28.736,215.141,2,barrichello,1972-05-23,honda,Disqualified,,24617.02
23,19,8,6,2,1,1,10.0,56,1:31:18.555,5478555,37,2,1:35.405,209.158,1,raikkonen,1979-10-17,ferrari,Finished,11.0,77797.62640449438
24,19,9,2,4,2,2,8.0,56,+19.570,5498125,39,6,1:35.921,208.033,1,kubica,1984-12-07,bmw_sauber,Finished,19.0,24428.738095238095
25,19,5,1,8,3,3,6.0,56,+38.450,5517005,19,7,1:35.922,208.031,1,kovalainen,1981-10-19,mclaren,Finished,24.0,24608.666666666668
26,19,15,7,3,4,4,5.0,56,+45.832,5524387,53,8,1:36.068,207.715,1,trulli,1974-07-13,toyota,Finished,5.0,25106.5
27,19,1,1,9,5,5,4.0,56,+46.548,5525103,53,3,1:35.462,209.033,1,hamilton,1985-01-07,mclaren,Finished,24.0,74893.54398148147
28,19,2,2,5,6,6,3.0,56,+49.833,5528388,55,1,1:35.366,209.244,1,heidfeld,1977-05-10,bmw_sauber,Finished,19.0,22933.32
29,19,17,9,6,7,7,2.0,56,+1:08.130,5546685,53,12,1:36.696,206.366,1,webber,1976-08-27,red_bull,Finished,2.0,23556.549295774646
30,19,4,4,7,8,8,1.0,56,+1:10.041,5548596,40,10,1:36.288,207.240,1,alonso,1981-07-29,renault,Finished,6.0,69458.58670520231
31,19,14,9,12,9,9,0.0,56,+1:16.220,5554775,55,9,1:36.206,207.417,1,coulthard,1971-03-27,red_bull,Finished,2.0,
32,19,18,11,11,10,10,0.0,56,+1:26.214,5564769,56,4,1:35.715,208.481,1,button,1980-01-19,honda,Finished,0.0,45562.598455598454
33,19,12,4,13,11,11,0.0,56,+1:32.202,5570757,52,15,1:36.956,205.812,1,piquet_jr,1985-07-25,renault,Finished,6.0,
34,19,21,10,17,12,12,0.0,55,\N,\N,52,16,1:36.962,205.800,11,fisichella,1973-01-14,force_india,+1 Lap,0.0,
35,19,22,11,14,13,13,0.0,55,\N,\N,55,11,1:36.693,206.372,11,barrichello,1972-05-23,honda,+1 Lap,0.0,24617.02
36,19,3,3,16,14,14,0.0,55,\N,\N,55,13,1:36.782,206.182,11,rosberg,1985-06-27,williams,+1 Lap,9.0,49760.69076305221
37,19,19,8,21,15,15,0.0,55,\N,\N,55,18,1:38.171,203.265,11,davidson,1979-04-18,super_aguri,+1 Lap,0.0,
38,19,11,8,19,16,16,0.0,54,\N,\N,53,19,1:38.504,202.578,12,sato,1977-01-28,super_aguri,+2 Laps,0.0,
39,19,6,3,22,17,17,0.0,54,\N,\N,19,17,1:37.711,204.222,12,nakajima,1985-01-11,williams,+2 Laps,9.0,
40,19,20,5,15,\N,18,0.0,39,\N,\N,37,14,1:36.870,205.995,5,vettel,1987-07-03,toro_rosso,Engine,2.0,71738.98139534883
41,19,13,6,1,\N,19,0.0,30,\N,\N,15,5,1:35.914,208.048,20,massa,1981-04-25,ferrari,Spun off,11.0,48945.787301587305
42,19,16,10,20,\N,20,0.0,5,\N,\N,3,20,1:40.330,198.891,9,sutil,1983-01-11,force_india,Hydraulics,0.0,34640.10743801653
43,19,10,7,10,\N,21,0.0,1,\N,\N,\N,\N,\N,\N,4,glock,1982-03-18,toyota,Collision,5.0,23743.946666666667
44,19,7,5,18,\N,22,0.0,0,\N,\N,\N,\N,\N,\N,20,bourdais,1979-02-28,toro_rosso,Spun off,2.0,
45,20,13,6,2,1,1,10.0,57,1:31:06.970,5466970,38,3,1:33.600,208.153,1,massa,1981-04-25,ferrari,Finished,29.0,48945.787301587305
46,20,8,6,4,2,2,8.0,57,+3.339,5470309,35,4,1:33.709,207.911,1,raikkonen,1979-10-17,ferrari,Finished,29.0,77797.62640449438
47,20,9,2,1,3,3,6.0,57,+4.998,5471968,55,5,1:33.775,207.765,1,kubica,1984-12-07,bmw_sauber,Finished,30.0,24428.738095238095
48,20,2,2,6,4,4,5.0,57,+8.409,5475379,48,2,1:33.565,208.231,1,heidfeld,1977-05-10,bmw_sauber,Finished,30.0,22933.32
49,20,5,1,5,5,5,4.0,57,+26.789,5493759,49,1,1:33.193,209.062,1,kovalainen,1981-10-19,mclaren,Finished,28.0,24608.666666666668
50,20,15,7,7,6,6,3.0,57,+41.314,5508284,45,7,1:34.204,206.819,1,trulli,1974-07-13,toyota,Finished,8.0,25106.5
51,20,17,9,11,7,7,2.0,57,+45.473,5512443,51,8,1:34.305,206.597,1,webber,1976-08-27,red_bull,Finished,4.0,23556.549295774646
52,20,3,3,8,8,8,1.0,57,+55.889,5522859,57,6,1:34.072,207.109,1,rosberg,1985-06-27,williams,Finished,10.0,49760.69076305221
53,20,10,7,13,9,9,0.0,57,+1:09.500,5536470,56,9,1:34.807,205.503,1,glock,1982-03-18,toyota,Finished,8.0,23743.946666666667
54,20,4,4,10,10,10,0.0,57,+1:17.181,5544151,35,13,1:35.194,204.668,1,alonso,1981-07-29,renault,Finished,6.0,69458.58670520231
55,20,22,11,12,11,11,0.0,57,+1:17.862,5544832,40,10,1:34.855,205.399,1,barrichello,1972-05-23,honda,Finished,0.0,24617.02
56,20,21,10,18,12,12,0.0,56,\N,\N,56,11,1:35.057,204.963,11,fisichella,1973-01-14,force_india,+1 Lap,0.0,
57,20,1,1,3,13,13,0.0,56,\N,\N,25,19,1:35.520,203.969,11,hamilton,1985-01-07,mclaren,+1 Lap,28.0,74893.54398148147
58,20,6,3,16,14,14,0.0,56,\N,\N,30,17,1:35.433,204.155,11,nakajima,1985-01-11,williams,+1 Lap,10.0,
59,20,7,5,15,15,15,0.0,56,\N,\N,33,15,1:35.333,204.369,11,bourdais,1979-02-28,toro_rosso,+1 Lap,2.0,
60,20,19,8,21,16,16,0.0,56,\N,\N,45,14,1:35.324,204.389,11,davidson,1979-04-18,super_aguri,+1 Lap,0.0,
61,20,11,8,22,17,17,0.0,56,\N,\N,56,20,1:35.891,203.180,11,sato,1977-01-28,super_aguri,+1 Lap,0.0,
62,20,14,9,17,18,18,0.0,56,\N,\N,43,16,1:35.351,204.331,11,coulthard,1971-03-27,red_bull,+1 Lap,4.0,
63,20,16,10,20,19,19,0.0,56,\N,\N,55,18,1:35.442,204.136,12,sutil,1983-01-11,force_india,+2 Laps,0.0,34640.10743801653
64,20,12,4,14,\N,20,0.0,40,\N,\N,31,12,1:35.129,204.808,6,piquet_jr,1985-07-25,renault,Gearbox,6.0,
65,20,18,11,9,\N,21,0.0,19,\N,\N,11,21,1:36.125,202.686,4,button,1980-01-19,honda,Collision,0.0,45562.598455598454
66,20,20,5,19,\N,22,0.0,0,\N,\N,\N,\N,\N,\N,5,vettel,1987-07-03,toro_rosso,Engine,2.0,71738.98139534883
67,21,8,6,1,1,1,10.0,66,1:38:19.051,5899051,46,1,1:21.670,205.191,1,raikkonen,1979-10-17,ferrari,Finished,47.0,77797.62640449438
68,21,13,6,3,2,2,8.0,66,+3.228,5902279,45,2,1:21.801,204.863,1,massa,1981-04-25,ferrari,Finished,47.0,48945.787301587305
69,21,1,1,5,3,3,6.0,66,+4.187,5903238,20,3,1:22.017,204.323,1,hamilton,1985-01-07,mclaren,Finished,34.0,74893.54398148147
70,21,9,2,4,4,4,5.0,66,+5.694,5904745,20,4,1:22.106,204.102,1,kubica,1984-12-07,bmw_sauber,Finished,35.0,24428.738095238095
71,21,17,9,7,5,5,4.0,66,+35.938,5934989,19,8,1:22.564,202.969,1,webber,1976-08-27,red_bull,Finished,8.0,23556.549295774646
72,21,18,11,13,6,6,3.0,66,+53.010,5952061,66,5,1:22.353,203.489,1,button,1980-01-19,honda,Finished,3.0,45562.598455598454
73,21,6,3,12,7,7,2.0,66,+58.244,5957295,48,15,1:23.549,200.576,1,nakajima,1985-01-11,williams,Finished,12.0,
74,21,15,7,8,8,8,1.0,66,+59.435,5958486,45,10,1:22.758,202.494,1,trulli,1974-07-13,toyota,Finished,9.0,25106.5
75,21,2,2,9,9,9,0.0,66,+1:03.073,5962124,21,7,1:22.519,203.080,1,heidfeld,1977-05-10,bmw_sauber,Finished,35.0,22933.32
76,21,21,10,19,10,10,0.0,65,\N,\N,40,14,1:23.439,200.841,11,fisichella,1973-01-14,force_india,+1 Lap,0.0,
77,21,10,7,14,11,11,0.0,65,\N,\N,57,12,1:23.007,201.886,11,glock,1982-03-18,toyota,+1 Lap,9.0,23743.946666666667
78,21,14,9,17,12,12,0.0,65,\N,\N,57,11,1:22.842,202.288,11,coulthard,1971-03-27,red_bull,+1 Lap,8.0,
79,21,11,8,22,13,13,0.0,65,\N,\N,34,17,1:24.617,198.045,11,sato,1977-01-28,super_aguri,+1 Lap,0.0,
80,21,3,3,15,\N,14,0.0,41,\N,\N,20,13,1:23.319,201.130,5,rosberg,1985-06-27,williams,Engine,12.0,49760.69076305221
81,21,4,4,2,\N,15,0.0,34,\N,\N,15,9,1:22.683,202.677,5,alonso,1981-07-29,renault,Engine,6.0,69458.58670520231
82,21,22,11,11,\N,16,0.0,34,\N,\N,21,16,1:23.858,199.837,4,barrichello,1972-05-23,honda,Collision,3.0,24617.02
83,21,5,1,6,\N,17,0.0,21,\N,\N,19,6,1:22.453,203.243,3,kovalainen,1981-10-19,mclaren,Accident,34.0,24608.666666666668
84,21,19,8,21,\N,18,0.0,8,\N,\N,6,20,1:26.864,192.922,21,davidson,1979-04-18,super_aguri,Radiator,0.0,
85,21,7,5,16,\N,19,0.0,7,\N,\N,6,19,1:25.999,194.862,4,bourdais,1979-02-28,toro_rosso,Collision,2.0,
86,21,12,4,10,\N,20,0.0,6,\N,\N,6,18,1:25.444,196.128,4,piquet_jr,1985-07-25,renault,Collision,6.0,
87,21,16,10,20,\N,21,0.0,0,\N,\N,\N,\N,\N,\N,4,sutil,1983-01-11,force_india,Collision,0.0,34640.10743801653
88,21,20,5,18,\N,22,0.0,0,\N,\N,\N,\N,\N,\N,4,vettel,1987-07-03,toro_rosso,Collision,2.0,71738.98139534883
89,22,13,6,1,1,1,10.0,58,1:26:49.451,5209451,16,3,1:26.666,221.734,1,massa,1981-04-25,ferrari,Finished,63.0,48945.787301587305
90,22,1,1,3,2,2,8.0,58,+3.779,5213230,31,2,1:26.529,222.085,1,hamilton,1985-01-07,mclaren,Finished,42.0,74893.54398148147
91,22,8,6,4,3,3,6.0,58,+4.271,5213722,20,1,1:26.506,222.144,1,raikkonen,1979-10-17,ferrari,Finished,63.0,77797.62640449438
92,22,9,2,5,4,4,5.0,58,+21.945,5231396,17,4,1:26.780,221.442,1,kubica,1984-12-07,bmw_sauber,Finished,44.0,24428.738095238095
93,22,2,2,9,5,5,4.0,58,+38.741,5248192,20,5,1:27.219,220.328,1,heidfeld,1977-05-10,bmw_sauber,Finished,44.0,22933.32
94,22,4,4,7,6,6,3.0,58,+53.724,5263175,57,6,1:27.280,220.174,1,alonso,1981-07-29,renault,Finished,9.0,69458.58670520231
95,22,17,9,6,7,7,2.0,58,+1:04.229,5273680,14,7,1:27.630,219.294,1,webber,1976-08-27,red_bull,Finished,10.0,23556.549295774646
96,22,3,3,11,8,8,1.0,58,+1:11.406,5280857,55,9,1:27.795,218.882,1,rosberg,1985-06-27,williams,Finished,13.0,49760.69076305221
97,22,14,9,10,9,9,0.0,58,+1:15.270,5284721,41,12,1:27.966,218.457,1,coulthard,1971-03-27,red_bull,Finished,10.0,
98,22,15,7,8,10,10,0.0,58,+1:16.344,5285795,52,11,1:27.926,218.556,1,trulli,1974-07-13,toyota,Finished,9.0,25106.5
99,22,18,11,13,11,11,0.0,57,\N,\N,57,13,1:27.998,218.377,11,button,1980-01-19,honda,+1 Lap,3.0,45562.598455598454
100,22,5,1,2,12,12,0.0,57,\N,\N,55,8,1:27.640,219.269,11,kovalainen,1981-10-19,mclaren,+1 Lap,42.0,24608.666666666668
101,22,10,7,15,13,13,0.0,57,\N,\N,28,16,1:28.303,217.623,11,glock,1982-03-18,toyota,+1 Lap,9.0,23743.946666666667
102,22,22,11,12,14,14,0.0,57,\N,\N,56,14,1:28.017,218.330,11,barrichello,1972-05-23,honda,+1 Lap,3.0,24617.02
103,22,12,4,17,15,15,0.0,57,\N,\N,40,10,1:27.867,218.703,11,piquet_jr,1985-07-25,renault,+1 Lap,9.0,
104,22,16,10,19,16,16,0.0,57,\N,\N,35,18,1:28.780,216.454,11,sutil,1983-01-11,force_india,+1 Lap,0.0,34640.10743801653
105,22,20,5,14,17,17,0.0,57,\N,\N,38,15,1:28.180,217.926,11,vettel,1987-07-03,toro_rosso,+1 Lap,2.0,71738.98139534883
106,22,7,5,18,\N,18,0.0,24,\N,\N,19,17,1:28.745,216.539,22,bourdais,1979-02-28,toro_rosso,Suspension,2.0,
107,22,6,3,16,\N,19,0.0,1,\N,\N,\N,\N,\N,\N,4,nakajima,1985-01-11,williams,Collision,13.0,
108,22,21,10,20,\N,20,0.0,0,\N,\N,\N,\N,\N,\N,4,fisichella,1973-01-14,force_india,Collision,0.0,
109,23,1,1,3,1,1,10.0,76,2:00:42.742,7242742,71,6,1:18.510,153.152,1,hamilton,1985-01-07,mclaren,Finished,53.0,74893.54398148147
110,23,9,2,5,2,2,8.0,76,+3.064,7245806,75,5,1:17.933,154.286,1,kubica,1984-12-07,bmw_sauber,Finished,52.0,24428.738095238095
111,23,13,6,1,3,3,6.0,76,+4.811,7247553,76,4,1:17.886,154.379,1,massa,1981-04-25,ferrari,Finished,69.0,48945.787301587305
112,23,17,9,9,4,4,5.0,76,+19.295,7262037,74,8,1:19.036,152.133,1,webber,1976-08-27,red_bull,Finished,15.0,23556.549295774646
113,23,20,5,19,5,5,4.0,76,+24.657,7267399,74,7,1:18.787,152.614,1,vettel,1987-07-03,toro_rosso,Finished,6.0,71738.98139534883
114,23,22,11,14,6,6,3.0,76,+28.408,7271150,75,9,1:19.574,151.104,1,barrichello,1972-05-23,honda,Finished,6.0,24617.02
115,23,6,3,13,7,7,2.0,76,+30.180,7272922,75,13,1:19.910,150.469,1,nakajima,1985-01-11,williams,Finished,15.0,
116,23,5,1,4,8,8,1.0,76,+33.191,7275933,74,2,1:17.282,155.586,1,kovalainen,1981-10-19,mclaren,Finished,53.0,24608.666666666668
117,23,8,6,2,9,9,0.0,76,+33.792,7276534,74,1,1:16.689,156.789,1,raikkonen,1979-10-17,ferrari,Finished,69.0,77797.62640449438
118,23,4,4,7,10,10,0.0,75,\N,\N,73,3,1:17.869,154.413,11,alonso,1981-07-29,renault,+1 Lap,9.0,69458.58670520231
119,23,18,11,11,11,11,0.0,75,\N,\N,74,10,1:19.582,151.089,11,button,1980-01-19,honda,+1 Lap,6.0,45562.598455598454
120,23,10,7,10,12,12,0.0,75,\N,\N,75,11,1:19.618,151.021,11,glock,1982-03-18,toyota,+1 Lap,9.0,23743.946666666667
121,23,15,7,8,13,13,0.0,75,\N,\N,75,12,1:19.830,150.620,11,trulli,1974-07-13,toyota,+1 Lap,9.0,25106.5
122,23,2,2,12,14,14,0.0,72,\N,\N,72,14,1:20.251,149.829,14,heidfeld,1977-05-10,bmw_sauber,+4 Laps,52.0,22933.32
123,23,16,10,18,\N,15,0.0,67,\N,\N,60,16,1:22.039,146.564,4,sutil,1983-01-11,force_india,Collision,0.0,34640.10743801653
124,23,3,3,6,\N,16,0.0,59,\N,\N,58,15,1:21.270,147.951,3,rosberg,1985-06-27,williams,Accident,15.0,49760.69076305221
125,23,12,4,17,\N,17,0.0,47,\N,\N,40,17,1:31.187,131.860,3,piquet_jr,1985-07-25,renault,Accident,9.0,
126,23,21,10,20,\N,18,0.0,36,\N,\N,33,18,1:32.849,129.500,6,fisichella,1973-01-14,force_india,Gearbox,0.0,
127,23,14,9,15,\N,19,0.0,7,\N,\N,7,20,1:42.112,117.753,3,coulthard,1971-03-27,red_bull,Accident,15.0,
128,23,7,5,16,\N,20,0.0,7,\N,\N,7,19,1:41.150,118.872,4,bourdais,1979-02-28,toro_rosso,Collision,6.0,
129,24,9,2,2,1,1,10.0,70,1:36:24.227,5784227,47,4,1:17.539,202.473,1,kubica,1984-12-07,bmw_sauber,Finished,70.0,24428.738095238095
130,24,2,2,8,2,2,8.0,70,+16.495,5800722,25,2,1:17.430,202.758,1,heidfeld,1977-05-10,bmw_sauber,Finished,70.0,22933.32
131,24,14,9,13,3,3,6.0,70,+23.352,5807579,36,7,1:18.085,201.057,1,coulthard,1971-03-27,red_bull,Finished,21.0,
132,24,10,7,11,4,4,5.0,70,+42.627,5826854,31,17,1:19.087,198.510,1,glock,1982-03-18,toyota,Finished,17.0,23743.946666666667
133,24,13,6,6,5,5,4.0,70,+43.934,5828161,11,6,1:18.006,201.261,1,massa,1981-04-25,ferrari,Finished,73.0,48945.787301587305
134,24,15,7,14,6,6,3.0,70,+47.775,5832002,38,15,1:18.870,199.056,1,trulli,1974-07-13,toyota,Finished,17.0,25106.5
135,24,22,11,9,7,7,2.0,70,+53.597,5837824,35,10,1:18.301,200.503,1,barrichello,1972-05-23,honda,Finished,8.0,24617.02
136,24,20,5,19,8,8,1.0,70,+54.120,5838347,33,12,1:18.532,199.913,1,vettel,1987-07-03,toro_rosso,Finished,7.0,71738.98139534883
137,24,5,1,7,9,9,0.0,70,+54.433,5838660,62,11,1:18.462,200.091,1,kovalainen,1981-10-19,mclaren,Finished,53.0,24608.666666666668
138,24,3,3,5,10,10,0.0,70,+54.749,5838976,14,5,1:17.977,201.336,1,rosberg,1985-06-27,williams,Finished,15.0,49760.69076305221
139,24,18,11,20,11,11,0.0,70,+1:07.540,5851767,58,19,1:19.352,197.847,1,button,1980-01-19,honda,Finished,8.0,45562.598455598454
140,24,17,9,10,12,12,0.0,70,+1:11.299,5855526,51,8,1:18.201,200.759,1,webber,1976-08-27,red_bull,Finished,21.0,23556.549295774646
141,24,7,5,18,13,13,0.0,69,\N,\N,34,13,1:18.620,199.689,11,bourdais,1979-02-28,toro_rosso,+1 Lap,7.0,
142,24,21,10,17,\N,14,0.0,51,\N,\N,41,16,1:19.066,198.563,20,fisichella,1973-01-14,force_india,Spun off,0.0,
143,24,6,3,12,\N,15,0.0,46,\N,\N,30,14,1:18.784,199.273,3,nakajima,1985-01-11,williams,Accident,15.0,
144,24,4,4,4,\N,16,0.0,44,\N,\N,16,9,1:18.225,200.697,20,alonso,1981-07-29,renault,Spun off,9.0,69458.58670520231
145,24,12,4,15,\N,17,0.0,43,\N,\N,16,18,1:19.239,198.129,23,piquet_jr,1985-07-25,renault,Brakes,9.0,
146,24,8,6,3,\N,18,0.0,19,\N,\N,14,1,1:17.387,202.871,4,raikkonen,1979-10-17,ferrari,Collision,73.0,77797.62640449438
147,24,1,1,1,\N,19,0.0,19,\N,\N,4,3,1:17.506,202.559,4,hamilton,1985-01-07,mclaren,Collision,53.0,74893.54398148147
148,24,16,10,16,\N,20,0.0,13,\N,\N,7,20,1:20.666,194.624,6,sutil,1983-01-11,force_india,Gearbox,0.0,34640.10743801653
149,25,13,6,2,1,1,10.0,70,1:31:50.245,5510245,20,2,1:16.729,206.956,1,massa,1981-04-25,ferrari,Finished,91.0,48945.787301587305
150,25,8,6,1,2,2,8.0,70,+17.984,5528229,16,1,1:16.630,207.224,1,raikkonen,1979-10-17,ferrari,Finished,91.0,77797.62640449438
151,25,15,7,4,3,3,6.0,70,+28.250,5538495,12,7,1:17.567,204.721,1,trulli,1974-07-13,toyota,Finished,23.0,25106.5
152,25,5,1,10,4,4,5.0,70,+28.929,5539174,46,3,1:17.134,205.870,1,kovalainen,1981-10-19,mclaren,Finished,58.0,24608.666666666668
153,25,9,2,5,5,5,4.0,70,+30.512,5540757,16,4,1:17.172,205.768,1,kubica,1984-12-07,bmw_sauber,Finished,74.0,24428.738095238095
154,25,17,9,6,6,6,3.0,70,+40.304,5550549,22,6,1:17.507,204.879,1,webber,1976-08-27,red_bull,Finished,24.0,23556.549295774646
155,25,12,4,9,7,7,2.0,70,+41.033,5551278,24,10,1:17.758,204.218,1,piquet_jr,1985-07-25,renault,Finished,12.0,
156,25,4,4,3,8,8,1.0,70,+43.372,5553617,39,8,1:17.641,204.525,1,alonso,1981-07-29,renault,Finished,12.0,69458.58670520231
157,25,14,9,7,9,9,0.0,70,+51.021,5561266,23,12,1:17.818,204.060,1,coulthard,1971-03-27,red_bull,Finished,24.0,
158,25,1,1,13,10,10,0.0,70,+54.538,5564783,40,5,1:17.453,205.022,1,hamilton,1985-01-07,mclaren,Finished,58.0,74893.54398148147
159,25,10,7,8,11,11,0.0,70,+57.700,5567945,45,13,1:17.836,204.013,1,glock,1982-03-18,toyota,Finished,23.0,23743.946666666667
160,25,20,5,12,12,12,0.0,70,+58.065,5568310,36,11,1:17.760,204.212,1,vettel,1987-07-03,toro_rosso,Finished,7.0,71738.98139534883
161,25,2,2,11,13,13,0.0,70,+1:02.079,5572324,46,9,1:17.716,204.328,1,heidfeld,1977-05-10,bmw_sauber,Finished,74.0,22933.32
162,25,22,11,20,14,14,0.0,69,\N,\N,54,14,1:17.969,203.665,11,barrichello,1972-05-23,honda,+1 Lap,8.0,24617.02
163,25,6,3,15,15,15,0.0,69,\N,\N,60,15,1:18.054,203.443,11,nakajima,1985-01-11,williams,+1 Lap,15.0,
164,25,3,3,19,16,16,0.0,69,\N,\N,38,17,1:18.311,202.776,11,rosberg,1985-06-27,williams,+1 Lap,15.0,49760.69076305221
165,25,7,5,14,17,17,0.0,69,\N,\N,28,16,1:18.216,203.022,11,bourdais,1979-02-28,toro_rosso,+1 Lap,7.0,
166,25,21,10,17,18,18,0.0,69,\N,\N,53,19,1:18.557,202.141,11,fisichella,1973-01-14,force_india,+1 Lap,0.0,
167,25,16,10,18,19,19,0.0,69,\N,\N,41,18,1:18.462,202.385,11,sutil,1983-01-11,force_india,+1 Lap,0.0,34640.10743801653
168,25,18,11,16,\N,20,0.0,16,\N,\N,15,20,1:20.876,196.345,4,button,1980-01-19,honda,Collision,8.0,45562.598455598454
169,26,1,1,4,1,1,10.0,60,1:39:09.440,5949440,16,3,1:32.817,199.398,1,hamilton,1985-01-07,mclaren,Finished,72.0,74893.54398148147
170,26,2,2,5,2,2,8.0,60,+1:08.577,6018017,21,2,1:32.719,199.609,1,heidfeld,1977-05-10,bmw_sauber,Finished,82.0,22933.32
171,26,22,11,16,3,3,6.0,60,+1:22.273,6031713,21,11,1:33.386,198.183,1,barrichello,1972-05-23,honda,Finished,14.0,24617.02
172,26,8,6,3,4,4,5.0,59,\N,\N,18,1,1:32.150,200.842,11,raikkonen,1979-10-17,ferrari,+1 Lap,96.0,77797.62640449438
173,26,5,1,1,5,5,4.0,59,\N,\N,17,5,1:33.130,198.728,11,kovalainen,1981-10-19,mclaren,+1 Lap,72.0,24608.666666666668
174,26,4,4,6,6,6,3.0,59,\N,\N,17,6,1:33.133,198.722,11,alonso,1981-07-29,renault,+1 Lap,15.0,69458.58670520231
175,26,15,7,14,7,7,2.0,59,\N,\N,22,13,1:33.808,197.292,11,trulli,1974-07-13,toyota,+1 Lap,25.0,25106.5
176,26,6,3,15,8,8,1.0,59,\N,\N,21,14,1:34.277,196.310,11,nakajima,1985-01-11,williams,+1 Lap,16.0,
177,26,3,3,20,9,9,0.0,59,\N,\N,21,16,1:34.797,195.234,11,rosberg,1985-06-27,williams,+1 Lap,16.0,49760.69076305221
178,26,17,9,2,10,10,0.0,59,\N,\N,17,4,1:32.952,199.109,11,webber,1976-08-27,red_bull,+1 Lap,24.0,23556.549295774646
179,26,7,5,13,11,11,0.0,59,\N,\N,21,9,1:33.367,198.224,11,bourdais,1979-02-28,toro_rosso,+1 Lap,7.0,
180,26,10,7,12,12,12,0.0,59,\N,\N,19,15,1:34.610,195.619,11,glock,1982-03-18,toyota,+1 Lap,25.0,23743.946666666667
181,26,13,6,9,13,13,0.0,58,\N,\N,19,8,1:33.257,198.458,12,massa,1981-04-25,ferrari,+2 Laps,96.0,48945.787301587305
182,26,9,2,10,\N,14,0.0,39,\N,\N,22,12,1:33.539,197.859,20,kubica,1984-12-07,bmw_sauber,Spun off,82.0,24428.738095238095
183,26,18,11,17,\N,15,0.0,38,\N,\N,21,10,1:33.376,198.205,20,button,1980-01-19,honda,Spun off,14.0,45562.598455598454
184,26,12,4,7,\N,16,0.0,35,\N,\N,21,7,1:33.203,198.573,20,piquet_jr,1985-07-25,renault,Spun off,15.0,
185,26,21,10,19,\N,17,0.0,16,\N,\N,21,17,1:34.930,194.960,20,fisichella,1973-01-14,force_india,Spun off,0.0,
